Time Horizon,Model,Corr,Pval,AURC,Sigma=0.1,Sigma=0.2,Sigma=0.3,Sigma=0.4
t+1,RUE,0.45165795076752635,0.0,0.0894080286897785,0.05529643669135288,0.07314764013385713,0.08019061409037224,0.08690463468311105
t+1,MC Dropout,0.16558973762001183,1.029165829005597e-74,0.12348944895148281,0.10815971464404243,0.11990630977074396,0.13021793113811195,0.12549068701322968
t+1,GPR,0.2027043716307381,8.920829374217286e-112,0.08310403837578675,0.06634335167705294,0.07598047688078594,0.08526797849592328,0.09227347515863665
t+1,Infer-Noise,0.053715965465275364,3.729289523736076e-09,0.12399348725757775,0.12627151522159982,0.12300133553638776,0.12115267886097288,0.12464316932556933
t+1,BNN,0.26678709695926844,3.602058855245373e-195,0.11743219934513134,0.08662394621289951,0.10573559570770415,0.11693501765769045,0.11939184690148721
t+1,DER,0.26751146740829645,2.9284836849703153e-196,0.0775832112803273,0.06098398713747961,0.06652238478197613,0.07327239172903816,0.08072005983046691
t+2,RUE,0.3768349381288956,0.0,0.11324547102428173,0.0914611782569572,0.09853256602876023,0.10399651311450041,0.11345040803539642
t+2,MC Dropout,0.1400095042040956,9.945529275538973e-54,0.15174725187137406,0.10958113057650119,0.13501545347540428,0.15126651887317472,0.15447689467281858
t+2,GPR,0.16751092963430342,1.94123469064873e-76,0.11229831611008542,0.10293012620304363,0.10308090879406519,0.11287743578453238,0.11974576012314314
t+2,Infer-Noise,-0.0021788681262065062,0.8111237823349042,0.15847086936113747,0.20478194668755184,0.16937838599295152,0.1520748566542977,0.15930642761887673
t+2,BNN,0.19056540281886103,8.91157680080208e-99,0.14373211850748766,0.12991387340933547,0.12945953114713268,0.14396141868196638,0.14355119021777418
t+2,DER,0.21272553163801233,3.66167751678749e-123,0.11006897444337946,0.09090863864589183,0.10031855403630609,0.10384594927637138,0.11094294871253028
t+3,RUE,0.36481495820993887,0.0,0.14408222976318674,0.07108911093438718,0.12320169296577392,0.1324079714614628,0.1447448730153658
t+3,MC Dropout,0.15638538258004978,9.660760574945985e-67,0.17285817530324102,0.1255280834155618,0.16443792114638883,0.17190929053211246,0.17720600630700734
t+3,GPR,0.1558877512475691,2.5262142947298203e-66,0.13099197991450223,0.11766700632982273,0.12070879107480106,0.13152162820942453,0.1397044862319707
t+3,Infer-Noise,0.0015424381118795039,0.8656603387496985,0.1836974365725138,0.18366029626690544,0.190323697521794,0.18168860184163702,0.18568250330246674
t+3,BNN,0.16533763086850656,1.7267042691080085e-74,0.16797612111097132,0.13148359698973003,0.15651114442575373,0.17011899504464809,0.1679765223503275
t+3,DER,0.13080891252438917,4.545717527701405e-47,0.1419186230909386,0.12069800551575181,0.13912545984573527,0.1473751684263278,0.15309834831573318
