Time Horizon,Model,Corr,Pval,AURC,Sigma=0.1,Sigma=0.2,Sigma=0.3,Sigma=0.4
t+1,RUE,0.2976805353036721,3.478299848496619e-249,0.024453167858083054,0.01995909243969088,0.021591903148145478,0.02338477659690326,0.024714842165451046
t+1,MC Dropout,0.18843385026747048,2.540225316245633e-98,0.026450734696594903,0.025119625475923387,0.025249369729533653,0.025693179263687957,0.02633178317084269
t+1,GPR,0.17356875857285697,1.7442248981518876e-83,0.023811836393770623,0.022182981757213754,0.023840626736416477,0.024618791945023637,0.025090220997162523
t+1,Infer-Noise,0.057518949413159846,1.8708315772117907e-10,0.028103721545634036,0.030380885419213053,0.026767983462105353,0.02776963449716863,0.027808328477003357
t+1,BNN,0.1179376812741972,3.322524337565476e-39,0.05001593064672496,0.04953929554234891,0.047292068837863604,0.048651945348573464,0.049826192251425656
t+1,DER,0.24438078802949037,4.473218369530107e-166,0.02410570344286648,0.020118533038306404,0.022583757572177076,0.023746416317833696,0.025026480275612564
t+2,RUE,0.2411205738836387,1.351758901915568e-161,0.02811941408692304,0.025125684274017752,0.025626637665781653,0.02698539660251096,0.02820294291850994
t+2,MC Dropout,0.14636146577537726,1.2136794954038236e-59,0.029620530562216023,0.02909033836325651,0.027682898955913655,0.028268046542638186,0.029272780194985998
t+2,GPR,0.14810716672134838,4.7991723520545535e-61,0.02787915971154527,0.02627950466721939,0.027774665091551246,0.028617608789202633,0.02916590924702717
t+2,Infer-Noise,0.03797735162547769,2.6116854707807238e-05,0.031205095645600818,0.04304785203072793,0.027743992819508564,0.029834463130820926,0.030483987380938587
t+2,BNN,0.10666245525504925,2.4419971838518465e-32,0.050365831467712535,0.0498658736760583,0.04709406861611938,0.049343855662255326,0.05025327966175174
t+2,DER,0.1783156409546909,4.409361374866835e-88,0.027913666013226694,0.02662580481165271,0.025946831636680903,0.02745261051072534,0.028278599281275924
t+3,RUE,0.228345091686694,1.0990813745460797e-144,0.0313280294955975,0.02668022192782911,0.029243297935389594,0.0300636166207488,0.031144932927882688
t+3,MC Dropout,0.13997188244976785,1.1812429995425103e-54,0.032946410611147614,0.030261087114155177,0.031476635714694924,0.031633093690522994,0.032339858198909645
t+3,GPR,0.1465933258873736,7.92067259129534e-60,0.03030706653794962,0.0289272728813567,0.03006303877645637,0.030984536641692813,0.03160121502421002
t+3,Infer-Noise,0.03969287264943588,1.1076381198656317e-05,0.03427920872222645,0.033363796781535004,0.02880105090129406,0.03224033875860399,0.03370197328006835
t+3,BNN,0.09655238302154324,8.97560490867307e-27,0.05089379616736257,0.04977655375611723,0.04825946211854488,0.04952799682492116,0.05088296751845928
t+3,DER,0.164494072258574,4.636937217314076e-75,0.031145592768709186,0.02903771740606715,0.030440212029409584,0.031150557409232234,0.031737092931667155
