Category,Operation,Time/s
PI,Conformal PI,0.0006169452968792917
PI,Conditional PI,0.004386161764462736
PI,KNN PI,0.009464078479342938
PI,Copula PI,0.03211022306371612
PI,Weighted PI,0.10140761207131774
Predicting,Predicting with DER,0.002333064874013221
Predicting,Predicting with Decoder + Predictor,0.0099252859751383
Predicting,Predicting with GPR,0.028448641300201364
Predicting,Predicting with Infer-Noise,0.031605154275894116
Predicting,Predicting with MC Dropout,0.05196566383043919
Predicting,Predicting with BNN,7.784830212593079
Training,Training Encoder and Predictor,7.658442715803782
Training,Training Decoder,10.645309249560038
Training,Training GPR,88.4711547891299
Training,Training DER,149.62200274070105
Training,Training BNN,1329.463078435262
