,std,correlation,loss,best_hyperparameter
0,1e-05,-0.02446856891929955,0.041671455,True
1,5e-05,-0.019497199307246794,0.041671544,False
2,0.0001,-0.01970453589967107,0.041671652,False
3,0.005,-0.01952192821840068,0.04168422,False
4,0.01,-0.019436705101911596,0.041701693,False
5,0.02,-0.019130404896246456,0.041748676,False
6,0.05,-0.018410789083609533,0.04196513,False
7,0.1,-0.017959201241590846,0.04262166,False
8,0.2,-0.020629515796147982,0.044634335,False
9,0.5,-0.016641968889277263,0.055925447,False
